Genus,Size,Bleached,Dead,Site,Transect,Count,TransectLength
Pocillopora,22,0,0,LTER_Exp,1,1,15
Pocillopora,22,0,0,LTER_Exp,1,1,15
Pocillopora,22,0,100,LTER_Exp,1,1,15
Pocillopora,22,0,0,LTER_Exp,1,1,15
Pocillopora,22,0,0,LTER_Exp,1,1,15
Pocillopora,22,0,25,LTER_Exp,1,1,15
Pocillopora,22,0,0,LTER_Exp,1,1,15
Pocillopora,21,0,100,LTER_Exp,1,1,15
Pocillopora,21,0,0,LTER_Exp,1,1,15
Pocillopora,21,0,0,LTER_Exp,1,1,15
Pocillopora,21,0,0,LTER_Exp,1,1,15
Pocillopora,20,0,100,LTER_Exp,1,1,15
Pocillopora,20,0,2,LTER_Exp,1,1,15
Pocillopora,20,0,0,LTER_Exp,1,1,15
Pocillopora,20,0,0,LTER_Exp,1,1,15
Pocillopora,20,0,100,LTER_Exp,1,1,15
Pocillopora,20,0,0,LTER_Exp,1,1,15
Pocillopora,20,0,100,LTER_Exp,1,1,15
Pocillopora,20,0,0,LTER_Exp,1,1,15
Pocillopora,20,0,0,LTER_Exp,1,1,15
Pocillopora,20,0,100,LTER_Exp,1,2,15
Pocillopora,20,0,0,LTER_Exp,1,1,15
Pocillopora,20,0,0,LTER_Exp,1,1,15
Pocillopora,20,0,0,LTER_Exp,1,1,15
Pocillopora,20,0,0,LTER_Exp,1,1,15
Pocillopora,19,0,1,LTER_Exp,1,1,15
Pocillopora,19,0,20,LTER_Exp,1,1,15
Pocillopora,19,0,50,LTER_Exp,1,1,15
Pocillopora,19,0,0,LTER_Exp,1,1,15
Pocillopora,19,0,0,LTER_Exp,1,1,15
Pocillopora,19,0,0,LTER_Exp,1,1,15
Pocillopora,19,0,0,LTER_Exp,1,1,15
Pocillopora,19,0,0,LTER_Exp,1,1,15
Pocillopora,19,0,0,LTER_Exp,1,2,15
Pocillopora,19,0,0,LTER_Exp,1,1,15
Pocillopora,18,0,0,LTER_Exp,1,1,15
Pocillopora,18,0,100,LTER_Exp,1,1,15
Pocillopora,18,0,0,LTER_Exp,1,1,15
Pocillopora,18,0,100,LTER_Exp,1,1,15
Pocillopora,18,0,0,LTER_Exp,1,1,15
Pocillopora,18,0,0,LTER_Exp,1,2,15
Pocillopora,18,0,0,LTER_Exp,1,1,15
Pocillopora,18,0,100,LTER_Exp,1,1,15
Pocillopora,18,0,0,LTER_Exp,1,1,15
Pocillopora,18,0,0,LTER_Exp,1,1,15
Pocillopora,18,0,0,LTER_Exp,1,1,15
Pocillopora,17,0,0,LTER_Exp,1,1,15
Pocillopora,17,0,60,LTER_Exp,1,1,15
Pocillopora,17,0,0,LTER_Exp,1,2,15
Pocillopora,17,0,5,LTER_Exp,1,1,15
Pocillopora,17,0,10,LTER_Exp,1,1,15
Pocillopora,17,0,0,LTER_Exp,1,2,15
Pocillopora,17,0,50,LTER_Exp,1,1,15
Pocillopora,17,0,0,LTER_Exp,1,1,15
Pocillopora,17,0,100,LTER_Exp,1,1,15
Pocillopora,17,0,0,LTER_Exp,1,1,15
Pocillopora,17,0,0,LTER_Exp,1,1,15
Pocillopora,17,0,0,LTER_Exp,1,2,15
Pocillopora,17,0,0,LTER_Exp,1,1,15
Pocillopora,17,0,100,LTER_Exp,1,1,15
Pocillopora,17,0,0,LTER_Exp,1,1,15
Pocillopora,17,0,0,LTER_Exp,1,1,15
Pocillopora,17,9,9,LTER_Exp,1,1,15
Pocillopora,16,0,0,LTER_Exp,1,3,15
Pocillopora,16,0,0,LTER_Exp,1,1,15
Pocillopora,16,0,0,LTER_Exp,1,1,15
Pocillopora,16,0,0,LTER_Exp,1,2,15
Pocillopora,16,0,0,LTER_Exp,1,1,15
Pocillopora,16,0,0,LTER_Exp,1,2,15
Pocillopora,16,0,0,LTER_Exp,1,1,15
Pocillopora,16,0,0,LTER_Exp,1,2,15
Pocillopora,16,0,0,LTER_Exp,1,3,15
Pocillopora,16,0,0,LTER_Exp,1,1,15
Pocillopora,16,0,0,LTER_Exp,1,1,15
Pocillopora,16,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,100,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,30,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,20,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,100,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,3,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,15,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,1,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,15,0,0,LTER_Exp,1,1,15
Pocillopora,14,0,50,LTER_Exp,1,1,15
Pocillopora,14,0,0,LTER_Exp,1,1,15
Pocillopora,14,0,0,LTER_Exp,1,1,15
Pocillopora,14,0,90,LTER_Exp,1,1,15
Pocillopora,14,0,0,LTER_Exp,1,1,15
Pocillopora,14,0,0,LTER_Exp,1,1,15
Pocillopora,14,0,15,LTER_Exp,1,1,15
Pocillopora,14,0,0,LTER_Exp,1,1,15
Pocillopora,13,0,0,LTER_Exp,1,2,15
Pocillopora,13,0,0,LTER_Exp,1,1,15
Pocillopora,13,0,0,LTER_Exp,1,1,15
Pocillopora,13,0,0,LTER_Exp,1,1,15
Pocillopora,13,0,0,LTER_Exp,1,1,15
Pocillopora,12,0,0,LTER_Exp,1,1,15
Pocillopora,12,0,0,LTER_Exp,1,1,15
Pocillopora,12,0,0,LTER_Exp,1,2,15
Pocillopora,12,0,0,LTER_Exp,1,2,15
Pocillopora,12,0,0,LTER_Exp,1,1,15
Pocillopora,12,0,0,LTER_Exp,1,1,15
Pocillopora,11,0,0,LTER_Exp,1,2,15
Pocillopora,11,0,0,LTER_Exp,1,1,15
Pocillopora,11,0,0,LTER_Exp,1,1,15
Pocillopora,10,0,0,LTER_Exp,1,1,15
Pocillopora,9,0,20,LTER_Exp,1,1,15
Pocillopora,6,0,0,LTER_Exp,1,2,15
Pocillopora,6,0,0,LTER_Exp,1,1,15
Pocillopora,50,0,100,LTER_Exp,2,1,15
Pocillopora,48,0,95,LTER_Exp,2,1,15
Pocillopora,47,0,100,LTER_Exp,2,1,15
Pocillopora,45,0,100,LTER_Exp,2,1,15
Pocillopora,42,0,100,LTER_Exp,2,1,15
Pocillopora,41,0,0,LTER_Exp,2,1,15
Pocillopora,40,0,100,LTER_Exp,2,1,15
Pocillopora,38,0,100,LTER_Exp,2,1,15
Pocillopora,38,0,100,LTER_Exp,2,1,15
Pocillopora,38,0,100,LTER_Exp,2,1,15
Pocillopora,37,0,100,LTER_Exp,2,2,15
Pocillopora,37,0,90,LTER_Exp,2,1,15
Pocillopora,37,0,100,LTER_Exp,2,1,15
Pocillopora,37,0,100,LTER_Exp,2,1,15
Pocillopora,37,0,100,LTER_Exp,2,1,15
Pocillopora,37,0,100,LTER_Exp,2,1,15
Pocillopora,37,0,100,LTER_Exp,2,1,15
Pocillopora,36,0,0,LTER_Exp,2,1,15
Pocillopora,36,0,100,LTER_Exp,2,1,15
Pocillopora,36,0,100,LTER_Exp,2,1,15
Pocillopora,36,0,100,LTER_Exp,2,1,15
Pocillopora,36,0,100,LTER_Exp,2,1,15
Pocillopora,35,0,5,LTER_Exp,2,1,15
Pocillopora,35,0,100,LTER_Exp,2,1,15
Pocillopora,35,0,100,LTER_Exp,2,1,15
Pocillopora,35,0,75,LTER_Exp,2,1,15
Pocillopora,34,0,100,LTER_Exp,2,1,15
Pocillopora,34,0,0,LTER_Exp,2,1,15
Pocillopora,34,0,0,LTER_Exp,2,1,15
Pocillopora,34,0,100,LTER_Exp,2,1,15
Pocillopora,34,0,100,LTER_Exp,2,1,15
Pocillopora,34,0,15,LTER_Exp,2,1,15
Pocillopora,33,0,100,LTER_Exp,2,1,15
Pocillopora,33,0,100,LTER_Exp,2,1,15
Pocillopora,33,0,100,LTER_Exp,2,1,15
