Observer,Site,Genus,Size,Bleached,Dead,Transect,TransectLength,BeltSize
AA,LTER_Exp,Pocillopora,1,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,3,0,0,4,15,2
AA,LTER_Exp,Pocillopora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,5,0,0,4,15,2
AA,LTER_Exp,Acropora,1,0,0,4,15,2
AA,LTER_Exp,Acropora,1,0,0,4,15,2
AA,LTER_Exp,Acropora,4,0,0,4,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,4,0,0,5,15,2
AA,LTER_Exp,Pocillopora,4,0,0,5,15,2
AA,LTER_Exp,Pocillopora,4,0,0,5,15,2
AA,LTER_Exp,Pocillopora,5,0,0,5,15,2
AA,LTER_Exp,Pocillopora,5,0,0,5,15,2
AA,LTER_Exp,Pocillopora,5,0,0,5,15,2
AA,LTER_Exp,Acropora,3,0,0,5,15,2
AA,LTER_Exp,Acropora,4,0,0,5,15,2
AA,LTER_Exp,Acropora,4,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,100,5,15,2
AA,LTER_Exp,Pocillopora,4,0,0,5,15,2
AA,LTER_Exp,Pocillopora,5,0,0,5,15,2
AA,LTER_Exp,Pocillopora,5,0,0,5,15,2
AA,LTER_Exp,Pocillopora,5,0,100,5,15,2
AA,LTER_Exp,Acropora,2,0,0,5,15,2
AA,LTER_Exp,Acropora,4,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,2,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,4,0,0,5,15,2
AA,LTER_Exp,Pocillopora,4,0,0,5,15,2
AA,LTER_Exp,Pocillopora,4,0,0,5,15,2
AA,LTER_Exp,Pocillopora,5,0,0,5,15,2
AA,LTER_Exp,Acropora,2,0,0,5,15,2
AA,LTER_Exp,Acropora,2,0,0,5,15,2
AA,LTER_Exp,Acropora,3,0,0,5,15,2
AA,LTER_Exp,Pocillopora,1,0,0,6,15,2
AA,LTER_Exp,Pocillopora,1,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,5,0,0,6,15,2
AA,LTER_Exp,Pocillopora,5,0,0,6,15,2
AA,LTER_Exp,Pocillopora,5,0,0,6,15,2
AA,LTER_Exp,Acropora,3,0,0,6,15,2
AA,LTER_Exp,Acropora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,1,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,5,0,0,6,15,2
AA,LTER_Exp,Pocillopora,5,0,0,6,15,2
AA,LTER_Exp,Pocillopora,5,0,0,6,15,2
AA,LTER_Exp,Pocillopora,5,0,0,6,15,2
AA,LTER_Exp,Acropora,2,0,0,6,15,2
AA,LTER_Exp,Acropora,3,0,0,6,15,2
AA,LTER_Exp,Acropora,3,0,0,6,15,2
AA,LTER_Exp,Acropora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,1,0,0,6,15,2
AA,LTER_Exp,Pocillopora,1,0,0,6,15,2
AA,LTER_Exp,Pocillopora,1,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,0,6,15,2
AA,LTER_Exp,Pocillopora,2,0,100,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,3,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,4,0,0,6,15,2
AA,LTER_Exp,Pocillopora,5,0,0,6,15,2
AA,LTER_Exp,Pocillopora,5,0,0,6,15,2
AA,LTER_Exp,Acropora,2,0,0,6,15,2
AA,LTER_Exp,Acropora,2,0,0,6,15,2
AA,LTER_Exp,Acropora,5,0,0,6,15,2
AA,LTER_Exp,Pocillopora,1,0,0,7,15,2
AA,LTER_Exp,Pocillopora,1,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Acropora,2,0,0,7,15,2
AA,LTER_Exp,Acropora,3,0,0,7,15,2
AA,LTER_Exp,Acropora,3,0,0,7,15,2
AA,LTER_Exp,Acropora,3,0,0,7,15,2
AA,LTER_Exp,Acropora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Acropora,3,0,0,7,15,2
AA,LTER_Exp,Acropora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,1,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,2,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,3,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,4,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Pocillopora,5,0,0,7,15,2
AA,LTER_Exp,Acropora,2,0,0,7,15,2
AA,LTER_Exp,Acropora,3,0,0,7,15,2
KS,LTER_Exp,Pocillopora,2,0,0,1,20,1
KS,LTER_Exp,Pocillopora,2,0,0,1,20,1
KS,LTER_Exp,Pocillopora,3,0,0,1,20,1
KS,LTER_Exp,Pocillopora,3,0,0,1,20,1
KS,LTER_Exp,Pocillopora,4,0,0,1,20,1
KS,LTER_Exp,Pocillopora,4,0,0,1,20,1
KS,LTER_Exp,Pocillopora,5,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,4,0,0,1,20,1
KS,LTER_Exp,Acropora,5,0,70,1,20,1
KS,LTER_Exp,Pocillopora,3,0,0,1,20,1
KS,LTER_Exp,Pocillopora,3,0,0,1,20,1
KS,LTER_Exp,Pocillopora,3,0,0,1,20,1
KS,LTER_Exp,Pocillopora,3,0,0,1,20,1
KS,LTER_Exp,Pocillopora,3,0,100,1,20,1
KS,LTER_Exp,Pocillopora,4,0,0,1,20,1
KS,LTER_Exp,Pocillopora,5,0,0,1,20,1
KS,LTER_Exp,Pocillopora,5,0,0,1,20,1
KS,LTER_Exp,Acropora,2,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,4,0,0,1,20,1
KS,LTER_Exp,Acropora,4,0,0,1,20,1
KS,LTER_Exp,Acropora,5,0,0,1,20,1
KS,LTER_Exp,Pocillopora,1,0,0,1,20,1
KS,LTER_Exp,Pocillopora,2,0,0,1,20,1
KS,LTER_Exp,Pocillopora,2,0,0,1,20,1
KS,LTER_Exp,Pocillopora,2,0,0,1,20,1
KS,LTER_Exp,Pocillopora,3,0,0,1,20,1
KS,LTER_Exp,Pocillopora,3,0,0,1,20,1
KS,LTER_Exp,Pocillopora,4,0,0,1,20,1
KS,LTER_Exp,Pocillopora,5,0,0,1,20,1
KS,LTER_Exp,Pocillopora,5,0,0,1,20,1
KS,LTER_Exp,Pocillopora,5,0,0,1,20,1
KS,LTER_Exp,Pocillopora,5,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
