Observer,Site,Genus,Size,Bleached,Dead,Transect,TransectLength,BeltSize
KS,LTER_Exp,Pocillopora,2,0,0,1,20,1
KS,LTER_Exp,Pocillopora,3,0,0,1,20,1
KS,LTER_Exp,Pocillopora,3,0,0,1,20,1
KS,LTER_Exp,Pocillopora,5,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,3,0,0,1,20,1
KS,LTER_Exp,Acropora,4,0,0,1,20,1
KS,LTER_Exp,Acropora,4,0,0,1,20,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,5,0,0,0,25,1
KS,LTER_Exp,Pocillopora,5,0,0,0,25,1
KS,LTER_Exp,Pocillopora,5,0,0,0,25,1
KS,LTER_Exp,Acropora,2,0,0,0,25,1
KS,LTER_Exp,Acropora,2,0,0,0,25,1
KS,LTER_Exp,Acropora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,5,0,0,0,25,1
KS,LTER_Exp,Pocillopora,5,0,0,0,25,1
KS,LTER_Exp,Acropora,2,0,0,0,25,1
KS,LTER_Exp,Acropora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,5,0,0,0,25,1
KS,LTER_Exp,Pocillopora,1,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,2,0,0,0,25,1
KS,LTER_Exp,Acropora,5,0,0,0,25,1
KS,LTER_Exp,Pocillopora,1,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,100,0,25,1
KS,LTER_Exp,Pocillopora,5,0,0,0,25,1
KS,LTER_Exp,Pocillopora,5,0,100,0,25,1
KS,LTER_Exp,Acropora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,4,0,0,0,25,1
KS,LTER_Exp,Acropora,4,0,0,0,25,1
KS,LTER_Exp,Acropora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,1,0,0,0,25,1
KS,LTER_Exp,Pocillopora,1,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,0,0,25,1
KS,LTER_Exp,Pocillopora,2,0,100,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,3,0,0,0,25,1
KS,LTER_Exp,Pocillopora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,5,0,0,0,25,1
KS,LTER_Exp,Pocillopora,5,0,100,0,25,1
KS,LTER_Exp,Acropora,2,0,0,0,25,1
KS,LTER_Exp,Acropora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,3,0,0,0,25,1
KS,LTER_Exp,Acropora,4,0,0,0,25,1
KS,LTER_Exp,Pocillopora,1,0,0,8,40,1
KS,LTER_Exp,Pocillopora,2,0,0,8,40,1
KS,LTER_Exp,Pocillopora,2,0,0,8,40,1
KS,LTER_Exp,Pocillopora,3,0,0,8,40,1
KS,LTER_Exp,Pocillopora,3,0,0,8,40,1
KS,LTER_Exp,Pocillopora,3,0,0,8,40,1
KS,LTER_Exp,Pocillopora,3,0,0,8,40,1
KS,LTER_Exp,Pocillopora,3,0,0,8,40,1
KS,LTER_Exp,Pocillopora,3,0,0,8,40,1
KS,LTER_Exp,Pocillopora,3,0,100,8,40,1
KS,LTER_Exp,Pocillopora,4,0,0,8,40,1
KS,LTER_Exp,Pocillopora,4,0,0,8,40,1
KS,LTER_Exp,Pocillopora,4,0,0,8,40,1
KS,LTER_Exp,Pocillopora,4,0,0,8,40,1
KS,LTER_Exp,Pocillopora,4,0,0,8,40,1
KS,LTER_Exp,Pocillopora,5,0,0,8,40,1
KS,LTER_Exp,Pocillopora,5,0,0,8,40,1
KS,LTER_Exp,Pocillopora,5,0,100,8,40,1
KS,LTER_Exp,Acropora,2,0,0,8,40,1
KS,LTER_Exp,Acropora,3,0,0,8,40,1
