Observer,Site,Genus,Size,Bleached,Dead,Transect,TransectLength
KS,LTER_Exp,Pocillopora,33,0,100,0,10
KS,LTER_Exp,Pocillopora,42,0,100,0,10
KS,LTER_Exp,Pocillopora,33,0,100,0,10
KS,LTER_Exp,Pocillopora,18,0,0,0,10
KS,LTER_Exp,Pocillopora,20,0,10,0,10
KS,LTER_Exp,Pocillopora,37,0,100,0,10
KS,LTER_Exp,Acropora,25,0,5,0,10
KS,LTER_Exp,Pocillopora,25,0,0,0,10
KS,LTER_Exp,Pocillopora,9,0,0,0,10
KS,LTER_Exp,Pocillopora,21,0,0,0,10
KS,LTER_Exp,Pocillopora,51,0,100,0,10
KS,LTER_Exp,Pocillopora,15,0,0,0,10
KS,LTER_Exp,Pocillopora,26,0,0,0,10
KS,LTER_Exp,Pocillopora,30,0,95,0,10
KS,LTER_Exp,Pocillopora,30,0,0,0,10
KS,LTER_Exp,Pocillopora,15,0,50,0,10
KS,LTER_Exp,Acropora,21,0,0,0,10
KS,LTER_Exp,Pocillopora,24,0,100,0,10
KS,LTER_Exp,Pocillopora,18,0,0,0,10
KS,LTER_Exp,Pocillopora,38,0,100,0,10
KS,LTER_Exp,Pocillopora,17,0,10,0,10
KS,LTER_Exp,Pocillopora,8,0,0,0,10
KS,LTER_Exp,Pocillopora,14,0,0,0,10
KS,LTER_Exp,Pocillopora,7,0,0,0,10
KS,LTER_Exp,Pocillopora,13,0,0,0,10
KS,LTER_Exp,Pocillopora,14,0,0,0,10
KS,LTER_Exp,Pocillopora,27,0,10,0,10
KS,LTER_Exp,Pocillopora,13,0,0,0,10
KS,LTER_Exp,Pocillopora,16,0,0,0,10
KS,LTER_Exp,Pocillopora,6,0,0,0,10
KS,LTER_Exp,Pocillopora,16,0,0,0,10
KS,LTER_Exp,Pocillopora,6,0,0,0,10
KS,LTER_Exp,Pocillopora,16,0,0,0,10
KS,LTER_Exp,Pocillopora,15,0,0,0,10
KS,LTER_Exp,Pocillopora,13,0,0,0,10
KS,LTER_Exp,Pocillopora,7,0,0,0,10
KS,LTER_Exp,Pocillopora,20,0,0,0,10
KS,LTER_Exp,Pocillopora,20,0,0,0,10
KS,LTER_Exp,Acropora,23,0,100,0,10
KS,LTER_Exp,Acropora,16,0,100,0,10
KS,LTER_Exp,Pocillopora,14,0,0,0,10
KS,LTER_Exp,Pocillopora,14,0,10,0,10
KS,LTER_Exp,Pocillopora,15,0,0,0,10
KS,LTER_Exp,Pocillopora,22,0,100,0,10
KS,LTER_Exp,Pocillopora,17,0,0,0,10
KS,LTER_Exp,Pocillopora,47,0,70,0,10
KS,LTER_Exp,Pocillopora,20,20,5,0,10
KS,LTER_Exp,Pocillopora,30,0,100,0,10
KS,LTER_Exp,Pocillopora,25,0,0,0,10
KS,LTER_Exp,Pocillopora,16,0,0,0,10
KS,LTER_Exp,Pocillopora,21,0,100,0,10
KS,LTER_Exp,Pocillopora,24,0,100,0,10
KS,LTER_Exp,Pocillopora,17,0,0,0,10
KS,LTER_Exp,Pocillopora,30,0,20,0,10
KS,LTER_Exp,Pocillopora,52,0,50,1,20
KS,LTER_Exp,Pocillopora,43,0,100,1,20
KS,LTER_Exp,Pocillopora,35,0,100,1,20
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Pocillopora,27,0,0,1,20
KS,LTER_Exp,Pocillopora,15,0,60,1,20
KS,LTER_Exp,Pocillopora,24,0,0,1,20
KS,LTER_Exp,Pocillopora,19,0,0,1,20
KS,LTER_Exp,Pocillopora,13,0,100,1,20
KS,LTER_Exp,Pocillopora,40,0,100,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,24,0,0,1,20
KS,LTER_Exp,Pocillopora,23,0,100,1,20
KS,LTER_Exp,Acropora,22,0,100,1,20
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Pocillopora,14,0,0,1,20
KS,LTER_Exp,Acropora,14,60,0,1,20
KS,LTER_Exp,Pocillopora,14,30,0,1,20
KS,LTER_Exp,Pocillopora,9,0,0,1,20
KS,LTER_Exp,Pocillopora,37,0,100,1,20
KS,LTER_Exp,Pocillopora,25,0,100,1,20
